FPS, Characters, Tasselation, Blade Width, Blade Heigth, Wind Strength
32,70,7,0.05,1,0.2
84,70,7,0.05,1,0.2
81,70,7,0.05,1,0.2
78,70,7,0.05,1,0.2
86,70,7,0.05,1,0.2
63,70,7,0.05,1,0.2
65,70,7,0.05,1,0.2
63,70,7,0.05,1,0.2
68,70,7,0.05,1,0.2
31,70,7,0.05,1,0.2
96,70,7,0.05,1,0.2
91,70,7,0.05,1,0.2
64,70,7,0.05,1,0.2
107,70,7,0.05,1,0.2
50,70,7,0.05,1,0.2
41,70,7,0.05,1,0.2
110,70,7,0.05,1,0.2
78,70,7,0.05,1,0.2
71,70,7,0.05,1,0.2
34,70,7,0.05,1,0.2
120,70,7,0.05,1,0.2
97,70,7,0.05,1,0.2
70,70,7,0.05,1,0.2
71,70,7,0.05,1,0.2
65,70,7,0.05,1,0.2
67,70,7,0.05,1,0.2
67,70,7,0.05,1,0.2
65,70,7,0.05,1,0.2
62,70,7,0.05,1,0.2
35,70,7,0.05,1,0.2
116,70,7,0.05,1,0.2
84,70,7,0.05,1,0.2
87,70,7,0.05,1,0.2
62,70,7,0.05,1,0.2
68,70,7,0.05,1,0.2
62,70,7,0.05,1,0.2
73,70,7,0.05,1,0.2
49,70,7,0.05,1,0.2
79,70,7,0.05,1,0.2
35,70,7,0.05,1,0.2
125,70,7,0.05,1,0.2
94,70,7,0.05,1,0.2
77,70,7,0.05,1,0.2
68,70,7,0.05,1,0.2
64,70,7,0.05,1,0.2
66,70,7,0.05,1,0.2
68,70,7,0.05,1,0.2
63,70,7,0.05,1,0.2
68,70,7,0.05,1,0.2
68,70,7,0.05,1,0.2
33,70,7,0.05,1,0.2
122,70,7,0.05,1,0.2
97,70,7,0.05,1,0.2
76,70,7,0.05,1,0.2
66,70,7,0.05,1,0.2
61,70,7,0.05,1,0.2
69,70,7,0.05,1,0.2
67,70,7,0.05,1,0.2
66,70,7,0.05,1,0.2
67,70,7,0.05,1,0.2
33,70,7,0.05,1,0.2
108,70,7,0.05,1,0.2
95,70,7,0.05,1,0.2
79,70,7,0.05,1,0.2
64,70,7,0.05,1,0.2
69,70,7,0.05,1,0.2
66,70,7,0.05,1,0.2
65,70,7,0.05,1,0.2
