FPS, Characters, Tasselation, Blade Width, Blade Heigth, Wind Strength
49,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
24,70,7,1,0.5,0.2
112,70,7,1,0.5,0.2
115,70,7,1,0.5,0.2
61,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
41,70,7,1,0.5,0.2
44,70,7,1,0.5,0.2
67,70,7,1,0.5,0.2
29,70,7,1,0.5,0.2
46,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
99,70,7,1,0.5,0.2
60,70,7,1,0.5,0.2
60,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
48,70,7,1,0.5,0.2
28,70,7,1,0.5,0.2
84,70,7,1,0.5,0.2
64,70,7,1,0.5,0.2
60,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
31,70,7,1,0.5,0.2
34,70,7,1,0.5,0.2
97,70,7,1,0.5,0.2
81,70,7,1,0.5,0.2
60,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
53,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
29,70,7,1,0.5,0.2
80,70,7,1,0.5,0.2
61,70,7,1,0.5,0.2
64,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
29,70,7,1,0.5,0.2
41,70,7,1,0.5,0.2
121,70,7,1,0.5,0.2
77,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
29,70,7,1,0.5,0.2
75,70,7,1,0.5,0.2
67,70,7,1,0.5,0.2
57,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
53,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
28,70,7,1,0.5,0.2
77,70,7,1,0.5,0.2
63,70,7,1,0.5,0.2
62,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
26,70,7,1,0.5,0.2
101,70,7,1,0.5,0.2
64,70,7,1,0.5,0.2
60,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
48,70,7,1,0.5,0.2
53,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
28,70,7,1,0.5,0.2
81,70,7,1,0.5,0.2
65,70,7,1,0.5,0.2
59,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
28,70,7,1,0.5,0.2
80,70,7,1,0.5,0.2
65,70,7,1,0.5,0.2
59,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
29,70,7,1,0.5,0.2
41,70,7,1,0.5,0.2
109,70,7,1,0.5,0.2
85,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
48,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
28,70,7,1,0.5,0.2
85,70,7,1,0.5,0.2
63,70,7,1,0.5,0.2
60,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
28,70,7,1,0.5,0.2
79,70,7,1,0.5,0.2
67,70,7,1,0.5,0.2
57,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
48,70,7,1,0.5,0.2
39,70,7,1,0.5,0.2
71,70,7,1,0.5,0.2
27,70,7,1,0.5,0.2
107,70,7,1,0.5,0.2
66,70,7,1,0.5,0.2
43,70,7,1,0.5,0.2
66,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
28,70,7,1,0.5,0.2
83,70,7,1,0.5,0.2
64,70,7,1,0.5,0.2
60,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
46,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
28,70,7,1,0.5,0.2
82,70,7,1,0.5,0.2
70,70,7,1,0.5,0.2
57,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
53,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
29,70,7,1,0.5,0.2
76,70,7,1,0.5,0.2
44,70,7,1,0.5,0.2
61,70,7,1,0.5,0.2
66,70,7,1,0.5,0.2
56,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
39,70,7,1,0.5,0.2
34,70,7,1,0.5,0.2
87,70,7,1,0.5,0.2
66,70,7,1,0.5,0.2
58,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
28,70,7,1,0.5,0.2
93,70,7,1,0.5,0.2
41,70,7,1,0.5,0.2
103,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
53,70,7,1,0.5,0.2
48,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
29,70,7,1,0.5,0.2
77,70,7,1,0.5,0.2
70,70,7,1,0.5,0.2
60,70,7,1,0.5,0.2
48,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
29,70,7,1,0.5,0.2
76,70,7,1,0.5,0.2
64,70,7,1,0.5,0.2
60,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
48,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
48,70,7,1,0.5,0.2
28,70,7,1,0.5,0.2
92,70,7,1,0.5,0.2
65,70,7,1,0.5,0.2
56,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
29,70,7,1,0.5,0.2
85,70,7,1,0.5,0.2
65,70,7,1,0.5,0.2
59,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
29,70,7,1,0.5,0.2
77,70,7,1,0.5,0.2
68,70,7,1,0.5,0.2
44,70,7,1,0.5,0.2
68,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
28,70,7,1,0.5,0.2
76,70,7,1,0.5,0.2
69,70,7,1,0.5,0.2
57,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
27,70,7,1,0.5,0.2
90,70,7,1,0.5,0.2
60,70,7,1,0.5,0.2
61,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
48,70,7,1,0.5,0.2
27,70,7,1,0.5,0.2
92,70,7,1,0.5,0.2
66,70,7,1,0.5,0.2
55,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
21,70,7,1,0.5,0.2
116,70,7,1,0.5,0.2
114,70,7,1,0.5,0.2
56,70,7,1,0.5,0.2
54,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
52,70,7,1,0.5,0.2
27,70,7,1,0.5,0.2
87,70,7,1,0.5,0.2
68,70,7,1,0.5,0.2
55,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
49,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
28,70,7,1,0.5,0.2
42,70,7,1,0.5,0.2
116,70,7,1,0.5,0.2
75,70,7,1,0.5,0.2
51,70,7,1,0.5,0.2
50,70,7,1,0.5,0.2
36,70,7,1,0.5,0.2
45,70,7,1,0.5,0.2
37,70,7,1,0.5,0.2
84,70,7,1,0.5,0.2
