FPS, Characters, Tasselation, Blade Width, Blade Heigth, Wind Strength
57,80,7,0.05,0.5,0.2
59,80,7,0.05,0.5,0.2
92,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
83,80,7,0.05,0.5,0.2
69,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
27,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
90,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
101,80,7,0.05,0.5,0.2
59,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
58,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
28,80,7,0.05,0.5,0.2
108,80,7,0.05,0.5,0.2
81,80,7,0.05,0.5,0.2
70,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
27,80,7,0.05,0.5,0.2
113,80,7,0.05,0.5,0.2
82,80,7,0.05,0.5,0.2
68,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
47,80,7,0.05,0.5,0.2
31,80,7,0.05,0.5,0.2
104,80,7,0.05,0.5,0.2
82,80,7,0.05,0.5,0.2
67,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
52,80,7,0.05,0.5,0.2
59,80,7,0.05,0.5,0.2
28,80,7,0.05,0.5,0.2
101,80,7,0.05,0.5,0.2
86,80,7,0.05,0.5,0.2
70,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
28,80,7,0.05,0.5,0.2
103,80,7,0.05,0.5,0.2
80,80,7,0.05,0.5,0.2
72,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
27,80,7,0.05,0.5,0.2
106,80,7,0.05,0.5,0.2
72,80,7,0.05,0.5,0.2
81,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
50,80,7,0.05,0.5,0.2
63,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
27,80,7,0.05,0.5,0.2
110,80,7,0.05,0.5,0.2
80,80,7,0.05,0.5,0.2
71,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
58,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
27,80,7,0.05,0.5,0.2
106,80,7,0.05,0.5,0.2
85,80,7,0.05,0.5,0.2
66,80,7,0.05,0.5,0.2
58,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
28,80,7,0.05,0.5,0.2
96,80,7,0.05,0.5,0.2
86,80,7,0.05,0.5,0.2
69,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
58,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
28,80,7,0.05,0.5,0.2
103,80,7,0.05,0.5,0.2
76,80,7,0.05,0.5,0.2
75,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
27,80,7,0.05,0.5,0.2
104,80,7,0.05,0.5,0.2
83,80,7,0.05,0.5,0.2
69,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
53,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
28,80,7,0.05,0.5,0.2
111,80,7,0.05,0.5,0.2
79,80,7,0.05,0.5,0.2
72,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
48,80,7,0.05,0.5,0.2
68,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
28,80,7,0.05,0.5,0.2
110,80,7,0.05,0.5,0.2
78,80,7,0.05,0.5,0.2
73,80,7,0.05,0.5,0.2
53,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
27,80,7,0.05,0.5,0.2
102,80,7,0.05,0.5,0.2
88,80,7,0.05,0.5,0.2
69,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
28,80,7,0.05,0.5,0.2
103,80,7,0.05,0.5,0.2
82,80,7,0.05,0.5,0.2
71,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
58,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
45,80,7,0.05,0.5,0.2
32,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
112,80,7,0.05,0.5,0.2
106,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
53,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
27,80,7,0.05,0.5,0.2
111,80,7,0.05,0.5,0.2
84,80,7,0.05,0.5,0.2
69,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
27,80,7,0.05,0.5,0.2
100,80,7,0.05,0.5,0.2
88,80,7,0.05,0.5,0.2
72,80,7,0.05,0.5,0.2
52,80,7,0.05,0.5,0.2
58,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
28,80,7,0.05,0.5,0.2
110,80,7,0.05,0.5,0.2
84,80,7,0.05,0.5,0.2
69,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
53,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
27,80,7,0.05,0.5,0.2
105,80,7,0.05,0.5,0.2
83,80,7,0.05,0.5,0.2
69,80,7,0.05,0.5,0.2
43,80,7,0.05,0.5,0.2
68,80,7,0.05,0.5,0.2
59,80,7,0.05,0.5,0.2
58,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
27,80,7,0.05,0.5,0.2
101,80,7,0.05,0.5,0.2
84,80,7,0.05,0.5,0.2
68,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
28,80,7,0.05,0.5,0.2
105,80,7,0.05,0.5,0.2
82,80,7,0.05,0.5,0.2
72,80,7,0.05,0.5,0.2
41,80,7,0.05,0.5,0.2
91,80,7,0.05,0.5,0.2
53,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
27,80,7,0.05,0.5,0.2
98,80,7,0.05,0.5,0.2
89,80,7,0.05,0.5,0.2
74,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
26,80,7,0.05,0.5,0.2
114,80,7,0.05,0.5,0.2
90,80,7,0.05,0.5,0.2
72,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
57,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
52,80,7,0.05,0.5,0.2
53,80,7,0.05,0.5,0.2
29,80,7,0.05,0.5,0.2
76,80,7,0.05,0.5,0.2
88,80,7,0.05,0.5,0.2
75,80,7,0.05,0.5,0.2
62,80,7,0.05,0.5,0.2
51,80,7,0.05,0.5,0.2
60,80,7,0.05,0.5,0.2
50,80,7,0.05,0.5,0.2
62,80,7,0.05,0.5,0.2
28,80,7,0.05,0.5,0.2
91,80,7,0.05,0.5,0.2
89,80,7,0.05,0.5,0.2
75,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
54,80,7,0.05,0.5,0.2
56,80,7,0.05,0.5,0.2
50,80,7,0.05,0.5,0.2
37,80,7,0.05,0.5,0.2
28,80,7,0.05,0.5,0.2
79,80,7,0.05,0.5,0.2
80,80,7,0.05,0.5,0.2
65,80,7,0.05,0.5,0.2
83,80,7,0.05,0.5,0.2
71,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
53,80,7,0.05,0.5,0.2
55,80,7,0.05,0.5,0.2
22,80,7,0.05,0.5,0.2
80,80,7,0.05,0.5,0.2
101,80,7,0.05,0.5,0.2
101,80,7,0.05,0.5,0.2
60,80,7,0.05,0.5,0.2
