FPS, Characters, Tasselation, Blade Width, Blade Heigth, Wind Strength
53,80,7,0.05,2,0.2
25,80,7,0.05,2,0.2
92,80,7,0.05,2,0.2
95,80,7,0.05,2,0.2
91,80,7,0.05,2,0.2
63,80,7,0.05,2,0.2
53,80,7,0.05,2,0.2
56,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
53,80,7,0.05,2,0.2
23,80,7,0.05,2,0.2
75,80,7,0.05,2,0.2
110,80,7,0.05,2,0.2
90,80,7,0.05,2,0.2
65,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
55,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
30,80,7,0.05,2,0.2
88,80,7,0.05,2,0.2
77,80,7,0.05,2,0.2
65,80,7,0.05,2,0.2
55,80,7,0.05,2,0.2
35,80,7,0.05,2,0.2
63,80,7,0.05,2,0.2
99,80,7,0.05,2,0.2
57,80,7,0.05,2,0.2
30,80,7,0.05,2,0.2
50,80,7,0.05,2,0.2
110,80,7,0.05,2,0.2
91,80,7,0.05,2,0.2
55,80,7,0.05,2,0.2
40,80,7,0.05,2,0.2
74,80,7,0.05,2,0.2
59,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
29,80,7,0.05,2,0.2
93,80,7,0.05,2,0.2
77,80,7,0.05,2,0.2
64,80,7,0.05,2,0.2
53,80,7,0.05,2,0.2
55,80,7,0.05,2,0.2
56,80,7,0.05,2,0.2
53,80,7,0.05,2,0.2
56,80,7,0.05,2,0.2
29,80,7,0.05,2,0.2
94,80,7,0.05,2,0.2
77,80,7,0.05,2,0.2
66,80,7,0.05,2,0.2
51,80,7,0.05,2,0.2
59,80,7,0.05,2,0.2
55,80,7,0.05,2,0.2
53,80,7,0.05,2,0.2
56,80,7,0.05,2,0.2
28,80,7,0.05,2,0.2
105,80,7,0.05,2,0.2
77,80,7,0.05,2,0.2
64,80,7,0.05,2,0.2
55,80,7,0.05,2,0.2
55,80,7,0.05,2,0.2
55,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
55,80,7,0.05,2,0.2
29,80,7,0.05,2,0.2
101,80,7,0.05,2,0.2
76,80,7,0.05,2,0.2
65,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
56,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
46,80,7,0.05,2,0.2
33,80,7,0.05,2,0.2
97,80,7,0.05,2,0.2
77,80,7,0.05,2,0.2
65,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
55,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
30,80,7,0.05,2,0.2
91,80,7,0.05,2,0.2
80,80,7,0.05,2,0.2
63,80,7,0.05,2,0.2
56,80,7,0.05,2,0.2
56,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
55,80,7,0.05,2,0.2
29,80,7,0.05,2,0.2
89,80,7,0.05,2,0.2
80,80,7,0.05,2,0.2
63,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
56,80,7,0.05,2,0.2
57,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
55,80,7,0.05,2,0.2
23,80,7,0.05,2,0.2
112,80,7,0.05,2,0.2
127,80,7,0.05,2,0.2
76,80,7,0.05,2,0.2
53,80,7,0.05,2,0.2
53,80,7,0.05,2,0.2
55,80,7,0.05,2,0.2
55,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
28,80,7,0.05,2,0.2
82,80,7,0.05,2,0.2
95,80,7,0.05,2,0.2
62,80,7,0.05,2,0.2
57,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
57,80,7,0.05,2,0.2
54,80,7,0.05,2,0.2
27,80,7,0.05,2,0.2
40,80,7,0.05,2,0.2
81,80,7,0.05,2,0.2
99,80,7,0.05,2,0.2
94,80,7,0.05,2,0.2
60,80,7,0.05,2,0.2
56,80,7,0.05,2,0.2
56,80,7,0.05,2,0.2
38,80,7,0.05,2,0.2
66,80,7,0.05,2,0.2
31,80,7,0.05,2,0.2
102,80,7,0.05,2,0.2
79,80,7,0.05,2,0.2
65,80,7,0.05,2,0.2
53,80,7,0.05,2,0.2
65,80,7,0.05,2,0.2
50,80,7,0.05,2,0.2
55,80,7,0.05,2,0.2
55,80,7,0.05,2,0.2
28,80,7,0.05,2,0.2
106,80,7,0.05,2,0.2
79,80,7,0.05,2,0.2
