FPS, Characters, Tasselation, Blade Width, Blade Heigth, Wind Strength
115,80,7,0.05,0.5,0.7
70,80,7,0.05,0.5,0.7
40,80,7,0.05,0.5,0.7
58,80,7,0.05,0.5,0.7
95,80,7,0.05,0.5,0.7
83,80,7,0.05,0.5,0.7
62,80,7,0.05,0.5,0.7
23,80,7,0.05,0.5,0.7
103,80,7,0.05,0.5,0.7
98,80,7,0.05,0.5,0.7
127,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
45,80,7,0.05,0.5,0.7
81,80,7,0.05,0.5,0.7
46,80,7,0.05,0.5,0.7
70,80,7,0.05,0.5,0.7
30,80,7,0.05,0.5,0.7
113,80,7,0.05,0.5,0.7
115,80,7,0.05,0.5,0.7
96,80,7,0.05,0.5,0.7
62,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
62,80,7,0.05,0.5,0.7
62,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
31,80,7,0.05,0.5,0.7
119,80,7,0.05,0.5,0.7
87,80,7,0.05,0.5,0.7
73,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
62,80,7,0.05,0.5,0.7
59,80,7,0.05,0.5,0.7
59,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
31,80,7,0.05,0.5,0.7
122,80,7,0.05,0.5,0.7
82,80,7,0.05,0.5,0.7
73,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
63,80,7,0.05,0.5,0.7
37,80,7,0.05,0.5,0.7
64,80,7,0.05,0.5,0.7
94,80,7,0.05,0.5,0.7
27,80,7,0.05,0.5,0.7
117,80,7,0.05,0.5,0.7
114,80,7,0.05,0.5,0.7
114,80,7,0.05,0.5,0.7
58,80,7,0.05,0.5,0.7
63,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
63,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
22,80,7,0.05,0.5,0.7
104,80,7,0.05,0.5,0.7
118,80,7,0.05,0.5,0.7
108,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
46,80,7,0.05,0.5,0.7
79,80,7,0.05,0.5,0.7
69,80,7,0.05,0.5,0.7
58,80,7,0.05,0.5,0.7
32,80,7,0.05,0.5,0.7
58,80,7,0.05,0.5,0.7
107,80,7,0.05,0.5,0.7
111,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
62,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
32,80,7,0.05,0.5,0.7
106,80,7,0.05,0.5,0.7
86,80,7,0.05,0.5,0.7
71,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
63,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
62,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
62,80,7,0.05,0.5,0.7
32,80,7,0.05,0.5,0.7
108,80,7,0.05,0.5,0.7
82,80,7,0.05,0.5,0.7
71,80,7,0.05,0.5,0.7
63,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
59,80,7,0.05,0.5,0.7
62,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
32,80,7,0.05,0.5,0.7
107,80,7,0.05,0.5,0.7
84,80,7,0.05,0.5,0.7
53,80,7,0.05,0.5,0.7
75,80,7,0.05,0.5,0.7
74,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
59,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
30,80,7,0.05,0.5,0.7
123,80,7,0.05,0.5,0.7
81,80,7,0.05,0.5,0.7
75,80,7,0.05,0.5,0.7
64,80,7,0.05,0.5,0.7
57,80,7,0.05,0.5,0.7
53,80,7,0.05,0.5,0.7
76,80,7,0.05,0.5,0.7
63,80,7,0.05,0.5,0.7
59,80,7,0.05,0.5,0.7
31,80,7,0.05,0.5,0.7
108,80,7,0.05,0.5,0.7
98,80,7,0.05,0.5,0.7
69,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
59,80,7,0.05,0.5,0.7
64,80,7,0.05,0.5,0.7
58,80,7,0.05,0.5,0.7
32,80,7,0.05,0.5,0.7
111,80,7,0.05,0.5,0.7
81,80,7,0.05,0.5,0.7
77,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
59,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
62,80,7,0.05,0.5,0.7
31,80,7,0.05,0.5,0.7
113,80,7,0.05,0.5,0.7
88,80,7,0.05,0.5,0.7
72,80,7,0.05,0.5,0.7
62,80,7,0.05,0.5,0.7
57,80,7,0.05,0.5,0.7
63,80,7,0.05,0.5,0.7
59,80,7,0.05,0.5,0.7
59,80,7,0.05,0.5,0.7
65,80,7,0.05,0.5,0.7
32,80,7,0.05,0.5,0.7
118,80,7,0.05,0.5,0.7
80,80,7,0.05,0.5,0.7
75,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
63,80,7,0.05,0.5,0.7
62,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
32,80,7,0.05,0.5,0.7
104,80,7,0.05,0.5,0.7
86,80,7,0.05,0.5,0.7
76,80,7,0.05,0.5,0.7
58,80,7,0.05,0.5,0.7
64,80,7,0.05,0.5,0.7
62,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
62,80,7,0.05,0.5,0.7
32,80,7,0.05,0.5,0.7
112,80,7,0.05,0.5,0.7
84,80,7,0.05,0.5,0.7
73,80,7,0.05,0.5,0.7
60,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
61,80,7,0.05,0.5,0.7
62,80,7,0.05,0.5,0.7
58,80,7,0.05,0.5,0.7
62,80,7,0.05,0.5,0.7
32,80,7,0.05,0.5,0.7
109,80,7,0.05,0.5,0.7
82,80,7,0.05,0.5,0.7
